瘤痢,斥档,力厚,力厚,力厚,力厚,力厚,力厚,力厚,力厚,轨,轨,轨,轨,轨,轨,轨,轨,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,俺备府,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,唱厚,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,辆崔货,概拳,概拳,概拳,概拳,概拳,概拳,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,俺唱府,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,柳崔贰,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,孩唱公,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,汗件酒,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公,硅唱公
措包飞,2009,2009-04-30,3老,搬螟,—, , , , ,包螟 救凳,—, , , , , , ,2009-04-20, , , , , , , ,搬螟,—, , , , , , , , , , ,包螟 救凳,—, , , , , , , , ,2009-04-07,-12老,2009-04-16,-11老, , ,2009-04-16,-6老,2009-04-24,-6老, , ,2009-04-16,-9老,2009-04-25,-10老, , , , , , , , , , , , , , 
措包飞,2010,2010-04-19,-8老,2010-10-08,13老, , , , ,包螟 救凳,—, , , , , , ,2010-04-30, , , , , , , ,2010-05-09,-13老, , , , , , , , , , ,2010-05-09, , , , , , , , , ,2010-04-30,11老,2010-05-06,9老, , ,2010-05-07,15老,2010-05-13,13老, , ,2010-05-03,8老,2010-05-13,8老, , , , , , , , , , , , , , 
措包飞,2011,2011-05-03,6老,2011-09-20,-5老, , ,2011-09-07, ,包螟 救凳,—, , , , , , ,2011-05-01, , , , , , , ,2011-05-14,-8老, , , , , , ,包螟 救凳,—, , ,2011-05-11, , , ,包螟 救凳,—,包螟 救凳,—, , ,2011-04-29,10老,2011-05-05,8老, , ,2011-05-03,11老,2011-05-13,13老, , ,2011-05-03,8老,2011-05-13,8老, , ,包螟 救凳,—,包螟 救凳,—, , ,包螟 救凳,—,包螟 救凳,—, , 
措包飞,2012,2012-05-02,5老, , , , , , ,包螟 救凳,—, , , , , , ,2012-05-03, , , , , , , ,2012-05-12,-10老, , , , , , , , , , ,2012-04-14, , , ,2012-04-08, ,包螟 救凳,—, , ,2012-04-14,-5老,2012-04-30,3老, , ,2012-04-14,-8老,2012-05-01,1老, , ,2012-04-15,-10老,2012-05-03,-2老, , ,2012-05-08, ,2012-05-19, , , ,2012-05-06, ,2012-05-19, , , 
措包飞,2013,2013-05-22,25老, , , , , , ,包螟 救凳,—, , , , , , ,2013-05-05, , , , , , , ,2013-05-14,-8老, , , , , , , , , , ,2013-04-22, , , ,2013-04-03, ,2013-05-08, , , ,2013-05-04,15老,2013-05-13,16老, , ,2013-05-04,12老,2013-05-13,13老, , ,2013-05-04,9老,2013-05-13,8老, , ,2013-05-10, ,2013-05-20, , , ,2013-05-11, ,2013-05-20, , , 
措包飞,2014,2014-05-03,6老, , , , , , ,包螟 救凳,—, , , , , , ,2014-05-07, , , , , , , ,2014-05-10,-12老, , , , , , , , , , ,2014-04-11, , , ,2014-04-17, ,2014-04-23, , , ,2014-04-25,6老,2014-05-01,4老, , ,2014-04-25,3老,2014-05-01,1老, , ,2014-04-23,-2老,2014-04-30,-5老, , ,2014-05-07, ,2014-05-16, , , ,2014-05-25, ,2014-06-01, , , 
措包飞,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , , , , , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-04-20, ,2015-04-20, , , ,2015-04-23,4老,2015-04-28,1老, , ,2015-04-23,1老,2015-05-01,1老, , ,2015-04-22,-3老,2015-04-30,-5老, , ,2015-05-10, , , , , , , , , , , 
悼秦,2004,2004-04-14,-4老,2004-09-15,-30老, , , , , , , , , , , , , , , , , , , , ,2004-03-16,-22老, , , , , , , , , , , , , , ,2004-02-20,-15老,2004-03-15,-8老, , ,2004-03-15,-1老,2004-03-20,-6老, , ,2004-03-15,-1老,2004-03-20,-6老, , ,2004-03-23,0老,2004-03-28,-8老, , ,2004-03-21,-4老,2004-03-31,-11老, , ,2004-03-21,-4老,2004-04-06,-7老, , 
悼秦,2005,2005-04-14,-4老, , , , , , , , , , , , , , , , , , , , , , ,2005-04-14,7老, , , , , , , , , , , , , , ,2005-02-17,-17老,2005-03-25,2老, , ,2005-03-26,10老,2005-04-02,7老, , ,2005-03-25,9老,2005-04-06,11老, , ,2005-03-20,-3老,2005-04-08,3老, , ,2005-03-27,2老,2005-04-14,3老, , ,2005-03-27,2老,2005-04-15,2老, , 
悼秦,2006,2006-04-13,-5老,2006-10-11,-4老, , , , , , , , , , , , , , , , , , , , ,2006-04-16,9老, , , , , , , , , , , , , , ,2006-03-10,4老,2006-03-19,-4老, , ,2006-03-09,-7老,2006-03-20,-6老, , ,2006-03-17,1老,2006-03-21,-5老, , ,2006-03-20,-3老,2006-04-03,-2老, , ,2006-03-21,-4老,2006-04-03,-8老, , ,2006-04-05,11老,2006-04-15,2老, , 
悼秦,2007,2007-04-15,-3老,2007-10-07,-8老, , , , ,2007-06-21,12老, , , , , , ,2007-04-18,12老, , , , , , ,2007-04-05,-2老, , , , , , , , , , ,2007-04-07,-24老,搬螟,—,2007-02-28,-6老,2007-03-23,0老, , ,2007-03-07,-9老,2007-03-23,-3老, , ,2007-02-28,-16老,2007-03-23,-3老, , ,2007-03-13,-10老,2007-03-31,-5老, , ,2007-04-01,7老,2007-04-11,0老, , ,2007-04-02,8老,2007-04-13,0老, , 
悼秦,2008,2008-04-23,5老,2008-10-25,10老, , , , ,2008-06-19,10老, , , , , , ,2008-03-11,-26老, , , , , , ,2008-03-24,-14老, , , , , , , , , , ,2008-04-25,-6老, , ,2008-03-06,0老,2008-03-19,-4老, , ,2008-03-10,-6老,2008-03-21,-5老, , ,2008-03-10,-6老,2008-03-21,-5老, , ,2008-03-15,-8老,2008-04-03,-2老, , ,2008-03-13,-12老,2008-04-10,-1老, , ,2008-03-13,-12老,2008-04-10,-3老, , 
悼秦,2009,2009-04-15,-3老,2009-10-22,7老, , , , ,2009-05-01,-39老, , , , , , ,2009-04-08,2老, , , , , , ,2009-03-18,-20老, , , , , , , , , , ,2009-04-20,-11老, , ,2009-03-04,-2老,2009-03-19,-4老, , ,2009-03-17,1老,2009-03-19,-7老, , ,2009-03-11,-5老,2009-03-18,-8老, , ,2009-03-19,-4老,2009-03-30,-6老, , ,2009-03-19,-6老,2009-04-10,-1老, , ,2009-03-17,-8老,2009-04-10,-3老, , 
悼秦,2010,2010-04-20,2老,2010-10-21,6老, , , , ,包螟 救凳,—, , , , , , ,2010-04-10,4老, , , , , , ,2010-05-04,27老, , , , , , ,2010-04-20, , , ,2010-05-15,14老, , ,2010-03-12,6老,2010-04-02,10老, , ,2010-03-19,3老,2010-04-03,8老, , ,2010-03-14,-2老,2010-04-03,8老, , ,2010-03-30,7老,2010-04-17,12老, , ,2010-03-30,5老,2010-04-25,14老, , ,2010-03-30,5老,2010-04-25,12老, , 
悼秦,2011,2011-04-21,3老,2011-10-28,13老, , , , ,2011-06-02,-7老, , , , , , ,2011-04-13,7老, , , , , , ,2011-04-05,-2老, , , , , , , , , , ,2011-05-18,17老, , ,2011-03-15,9老,2011-04-01,9老, , ,2011-03-21,5老,2011-04-01,6老, , ,2011-03-19,3老,2011-04-01,6老, , ,2011-04-01,9老,2011-04-10,5老, , ,2011-04-01,7老,2011-04-15,4老, , ,2011-04-01,7老,2011-04-15,2老, , 
悼秦,2012,2012-04-20,2老,2012-10-20,5老, , , , ,2012-05-30,-10老, , , , , , ,2012-04-10,4老, , , , , , ,2012-04-20,13老, , , , , , , , , , ,2012-05-25,24老, , ,2012-03-19,13老,2012-04-02,10老, , ,2012-03-28,12老,2012-04-05,10老, , ,2012-03-29,13老,2012-04-05,10老, , ,2012-04-03,11老,2012-04-12,7老, , ,2012-04-08,14老,2012-04-18,7老, , ,2012-04-10,16老,2012-04-18,5老, , 
悼秦,2013,2013-04-15,-3老,搬螟,—, , , , ,包螟 救凳,—, , , , , , ,包螟 救凳,—, , , , , , ,2013-03-19,-19老, , , , , , , , , , ,2013-06-11,41老, , ,2013-03-06,0老,2013-03-29,6老, , ,2013-03-06,-10老,2013-03-18,-8老, , ,2013-03-06,-10老,2013-03-19,-7老, , ,2013-04-02,10老,2013-04-09,4老, , ,2013-04-08,14老,2013-04-18,7老, , ,2013-04-08,14老,2013-04-18,5老, , 
悼秦,2014,2014-04-16,-2老, , , , , , ,2014-07-04,25老, , , , , , ,2014-04-01,-5老, , , , , , ,2014-04-02,-5老, , , , , , , , , , ,2014-04-14,-17老, , ,2014-03-15,9老,2014-03-26,3老, , ,2014-03-21,5老,2014-03-26,0老, , ,2014-03-21,5老,2014-03-26,0老, , ,2014-03-27,4老,2014-04-02,-3老, , ,2014-03-27,2老,2014-04-09,-2老, , ,2014-03-27,2老,2014-04-07,-6老, , 
悼秦,2015, , ,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—, , , , , , , , ,2015-05-01,24老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-16,10老,2015-03-23,0老,2015-03-31, ,2015-03-20,4老,2015-03-27,1老,2015-03-31, ,2015-03-27,11老,2015-03-30,4老,2015-04-09, ,2015-03-24,1老,2015-03-31,-5老,2015-04-06, ,2015-03-27,2老,2015-04-08,-3老,2015-04-16, ,2015-03-30,5老,2015-04-07,-6老,2015-04-14, 
合碍釜,2008, , ,2008-10-23,6老, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
合碍釜,2009,2009-04-17,-3老,2009-10-22,5老, , , , ,包螟 救凳,—, , , , , , ,2009-04-11,-1老, , , , , , ,2009-04-28,28老, , , , , , , , , , ,2009-04-27,14老, , ,2009-03-05,3老,2009-03-16,-4老, , ,2009-03-09,-6老,2009-03-19,-7老, , ,2009-03-11,-5老,2009-03-19,-10老, , ,2009-03-20,-4老,2009-04-04,0老, , ,2009-03-18,-8老,2009-04-10,2老, , ,2009-03-19,-7老,2009-04-11,-1老, , 
合碍釜,2010,2010-05-04,14老,2010-10-21,4老, , , , ,2010-04-02,-25老, , , , , , ,2010-04-10,-2老, , , , , , ,2010-04-25,25老, , , , , , , , , , ,2010-05-30,47老, , ,2010-03-18,16老,2010-04-11,22老, , ,2010-03-21,6老,2010-04-10,15老, , ,2010-03-21,5老,2010-04-11,13老, , ,2010-04-01,8老,2010-04-18,14老, , ,2010-04-01,6老,2010-04-25,17老, , ,2010-04-01,6老,2010-04-25,13老, , 
合碍釜,2011,2011-04-24,4老,2011-10-22,5老, , , , ,2011-05-19,22老, , , , , , ,2011-04-15,3老, , , , , , ,2011-04-15,15老, , , , , , , , , , ,2011-04-17,4老, , ,2011-03-15,13老,2011-04-01,12老, , ,2011-03-19,4老,2011-04-06,11老, , ,2011-03-23,7老,2011-04-11,13老, , ,2011-03-28,4老,2011-04-11,7老, , ,2011-03-23,-3老,2011-04-16,8老, , ,2011-03-30,4老,2011-04-14,2老, , 
合碍釜,2012,2012-04-17,-3老,2012-10-09,-8老, , , , ,2012-04-17,-10老, , , , , , ,2012-04-02,-10老, , , , , , ,2012-04-14,14老, , , , , , , , , , ,2012-04-10,-3老, , ,2012-03-21,19老,2012-04-05,16老, , ,2012-03-29,14老,2012-04-04,9老, , ,2012-03-29,13老,2012-04-05,7老, , ,2012-04-06,13老,2012-04-13,9老, , ,2012-04-08,13老,2012-04-19,11老, , ,2012-04-05,10老,2012-04-19,7老, , 
合碍釜,2013,2013-04-27,7老,2013-10-15,-2老, , , , ,2013-04-22,-5老, , , , , , ,2013-04-09,-3老, , , , , , ,2013-03-26,-5老, , , , , , , , , , ,搬螟,—, , ,2013-03-11,9老,2013-04-01,12老, , ,2013-03-17,2老,2013-03-23,-3老, , ,2013-03-19,3老,2013-04-01,3老, , ,2013-03-24,0老,2013-04-09,5老, , ,2013-04-03,8老,2013-04-22,14老, , ,2013-04-03,8老,2013-04-22,10老, , 
合碍釜,2014,2014-04-21,1老,2014-10-28,11老, , , , ,2014-04-26,-1老, , , , , , ,2014-03-21,-22老, , , , , , ,2014-03-23,-8老, , , , , , , , , , ,2014-04-08,-5老, , ,2014-03-17,15老,2014-03-26,6老, , ,2014-03-24,9老,2014-03-28,2老, , ,2014-03-24,8老,2014-03-28,-1老, , ,2014-03-27,3老,2014-04-02,-2老, , ,搬螟,—,搬螟,—, , ,2014-03-28,2老,2014-04-04,-8老, , 
合碍釜,2015,2015-03-13,-38老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-22,-21老, , , , , , ,2015-03-23,-8老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2015-03-03,1老,2015-03-21,1老,搬螟,—,2015-03-17,2老,2015-03-25,-1老,2015-03-30,-2老,2015-03-19,3老,2015-03-27,-2老,2015-04-01,-1老,2015-03-20,-4老,2015-04-03,-1老,2015-04-08,1老,2015-03-31,5老,2015-04-06,-2老,2015-04-20,6老,2015-03-24,-2老,2015-04-15,3老,2015-04-19,4老
合碍釜,2016,2016-04-11,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-04-07,-5老, , , , , , ,2016-03-17,-14老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2016-03-16,14老,2016-03-26,6老,2016-03-31, ,2016-03-21,6老,2016-03-29,3老,2016-03-31,-1老,2016-03-21,5老,2016-03-29,0老,2016-04-04,2老,2016-03-19,-5老,2016-04-04,0老,2016-04-06,-1老,2016-03-31,5老,2016-04-06,-2老,2016-04-09,-5老,2016-03-30,4老,2016-04-09,-3老,2016-04-11,-4老
合碍釜,2017,2017-05-03,13老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , , , , , ,2017-03-01,-30老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-02-08,-22老,2017-02-17,-31老,2017-03-01, ,2017-03-09,-6老,2017-03-29,3老,2017-04-02,1老,2017-03-19,3老,2017-03-24,-5老,2017-04-02,0老,2017-03-19,-5老,2017-04-03,-1老,2017-04-04,-3老,2017-04-04,9老,2017-04-08,0老,2017-04-13,-1老,2017-03-27,1老,2017-04-10,-2老,2017-04-12,-3老
合碍釜,2018,搬螟,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , , , , , ,2018-04-10,10老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-03-07,5老,2018-03-24,4老,2018-03-30, ,2018-03-11,-4老,2018-03-22,-4老,2018-03-30,-2老,2018-03-11,-5老,2018-03-26,-3老,2018-04-01,-1老,2018-03-22,-2老,2018-03-31,-4老,2018-04-02,-5老,2018-03-30,4老,2018-04-02,-6老,2018-04-06,-8老,2018-03-27,1老,2018-04-02,-10老,2018-04-04,-11老
合碍釜,2019,2019-04-28,8老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , , , , , ,2019-03-09,-22老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 救凳,—,包螟 救凳,—,包螟 救凳,—,2019-02-23,-20老,2019-03-17,-9老,2019-03-31,-1老,2019-03-08,-8老,2019-03-19,-10老,2019-04-01,-1老,2019-03-20,-4老,2019-03-31,-4老,2019-04-04,-3老,2019-04-01,6老,2019-04-05,-3老,2019-04-08,-6老,2019-03-26,0老,2019-04-05,-7老,2019-04-08,-7老
合碍釜,2020,2020-04-11,-9老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , , , , , ,2020-03-21,-10老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2020-02-11,-20老,2020-02-24,-25老,2020-03-05, ,2020-03-05,-10老,2020-03-18,-8老,2020-03-22,-10老,2020-03-05,-11老,2020-03-18,-11老,2020-03-22,-11老,2020-03-21,-3老,2020-03-26,-9老,2020-03-30,-8老,2020-03-21,-5老,2020-03-29,-10老,2020-04-03,-11老,2020-03-21,-5老,2020-03-31,-12老,2020-04-04,-11老
合碍釜,2021,2021-04-25,5老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,搬螟,—, , ,包螟 救凳,—, , ,2021-04-20,20老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2021-02-10,-20老,2021-03-05,-15老,2021-03-17, ,2021-03-10,-5老,2021-03-19,-7老,2021-03-25,-7老,2021-03-10,-6老,2021-03-19,-10老,2021-03-25,-8老,2021-03-19,-5老,2021-03-28,-7老,2021-03-31,-7老,2021-03-23,-3老,2021-03-30,-9老,2021-04-06,-8老,2021-03-23,-3老,2021-04-02,-10老,2021-04-07,-8老
合碍釜,2022,搬螟,—,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-04-19,7老, , , , , , ,2022-03-08,-23老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2022-02-06,-24老,2022-03-16,-4老,2022-03-24, ,2022-03-03,-12老,2022-03-30,4老,2022-04-04,3老,2022-03-03,-13老,2022-03-30,1老,2022-04-04,2老,2022-03-27,3老,2022-04-06,2老,2022-04-10,3老,2022-03-06,-20老,2022-04-10,2老,2022-04-11,-3老,2022-03-06,-20老,2022-04-10,-2老,2022-04-11,-4老
合碍釜,2023,2023-04-16,-4老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-04-05,-7老, , , , , , ,2023-02-27,-32老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2023-01-27,-34老,2023-02-27,-21老,2023-03-07, ,2023-03-02,-13老,2023-03-17,-9老,2023-03-21,-11老,2023-03-03,-13老,2023-03-17,-12老,2023-03-22,-11老,2023-03-09,-15老,2023-03-26,-9老,2023-03-29,-9老,2023-03-09,-17老,2023-03-31,-8老,2023-04-05,-9老,2023-03-06,-20老,2023-03-31,-12老,2023-04-03,-12老
合碍釜,2024,2024-04-01,-19老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-03-31,-12老, , , , , , ,2024-04-01,1老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2024-02-01,-30老,2024-03-11,-9老,2024-03-15, ,2024-02-28,-16老,2024-03-22,-4老,2024-03-28,-4老,2024-02-28,-17老,2024-03-28,-1老,2024-04-01,-1老,2024-03-08,-16老,2024-04-05,1老,2024-04-09,2老,2024-03-11,-15老,2024-04-08,0老,2024-04-11,-3老,2024-03-07,-19老,2024-04-09,-3老,2024-04-12,-3老
合冕玫,2017,2017-04-11,-8老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-04-30,7老, , , , , , ,2017-03-13,-14老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2017-03-12,-16老,2017-04-03,-8老,2017-04-09, ,2017-03-28,1老,2017-04-04,0老,2017-04-10, ,2017-04-02,3老,2017-04-07,0老,2017-04-12, ,2017-04-03,1老,2017-04-11,0老,2017-04-13,1老,2017-04-03,-2老,2017-04-12,-5老,2017-04-17, ,2017-04-07,-1老,2017-04-13,-6老,2017-04-17, 
合冕玫,2018,2018-04-26,7老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-05-11,18老, , , , , , ,2018-03-23,-4老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2018-03-28,0老,2018-04-04,-7老,2018-04-13, ,2018-03-26,-1老,2018-04-01,-3老,2018-04-06, ,2018-04-03,4老,2018-04-06,-1老,2018-04-08, ,2018-04-01,-1老,2018-04-06,-5老,2018-04-08,-4老,2018-03-27,-9老,2018-04-18,1老,2018-04-21, ,2018-04-03,-5老,2018-04-06,-13老,2018-04-18, 
合冕玫,2019,2019-03-26,-24老,包螟 吝瘤,—, , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2019-05-10,17老, , , , , , ,2019-03-26,-1老, , , , , , ,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,包螟 吝瘤,—,2019-03-08,-20老,2019-03-29,-13老,2019-04-03, ,2019-03-19,-8老,2019-04-03,-1老,2019-04-05, ,2019-03-28,-2老,2019-04-07,0老,2019-04-11, ,2019-04-02,0老,2019-04-07,-4老,2019-04-14,2老,2019-04-07,2老,2019-04-21,4老,2019-04-22, ,2019-04-03,-5老,2019-04-21,2老,2019-04-22, 
